phc_id,district_id,medicine_id,current_stock,daily_consumption,surge_factor,lead_time_days,temperature_celsius,days_to_stockout,risk_label
PHC-RAN-01,DIST-JH-01,MED-001,450,22.5,1.2,5,24.5,16.7,SAFE
PHC-RAN-01,DIST-JH-01,MED-002,120,18.0,1.5,7,24.5,4.4,HIGH
PHC-RAN-01,DIST-JH-01,MED-003,35,30.0,2.1,6,24.5,0.6,CRITICAL
PHC-RAN-01,DIST-JH-01,MED-004,80,5.0,1.0,4,4.2,16.0,SAFE
PHC-RAN-01,DIST-JH-01,MED-005,15,4.0,1.8,7,3.8,2.1,CRITICAL
PHC-RAN-02,DIST-JH-01,MED-001,600,20.0,1.0,5,26.0,30.0,SAFE
PHC-RAN-02,DIST-JH-01,MED-002,240,15.0,1.1,7,26.0,14.5,MODERATE
PHC-RAN-02,DIST-JH-01,MED-003,50,25.0,1.8,6,26.0,1.1,CRITICAL
PHC-RAN-02,DIST-JH-01,MED-004,40,6.0,1.2,4,4.8,5.6,HIGH
PHC-RAN-02,DIST-JH-01,MED-005,25,3.5,1.0,7,4.1,7.1,HIGH
PHC-RAN-03,DIST-JH-01,MED-001,15,35.0,2.5,5,25.1,0.2,CRITICAL
PHC-RAN-03,DIST-JH-01,MED-002,40,20.0,1.9,7,25.1,1.1,CRITICAL
PHC-RAN-03,DIST-JH-01,MED-003,18,45.0,2.8,6,25.1,0.1,CRITICAL
PHC-RAN-03,DIST-JH-01,MED-004,10,8.0,1.5,4,5.0,0.8,CRITICAL
PHC-RAN-03,DIST-JH-01,MED-005,8,4.0,1.5,7,4.5,1.3,CRITICAL
PHC-PAT-01,DIST-BR-01,MED-001,520,25.0,1.0,6,29.0,20.8,SAFE
PHC-PAT-01,DIST-BR-01,MED-002,95,22.0,1.4,7,29.0,3.1,CRITICAL
PHC-PAT-01,DIST-BR-01,MED-003,210,40.0,1.3,5,29.0,4.0,HIGH
PHC-PAT-01,DIST-BR-01,MED-004,110,7.0,1.1,4,4.0,14.3,MODERATE
PHC-PAT-01,DIST-BR-01,MED-005,30,5.0,1.0,8,3.9,6.0,HIGH
PHC-KHO-01,DIST-OD-01,MED-001,750,28.0,1.1,5,27.5,24.4,SAFE
PHC-KHO-01,DIST-OD-01,MED-002,180,16.0,1.2,6,27.5,9.4,MODERATE
PHC-KHO-01,DIST-OD-01,MED-003,45,35.0,2.4,5,27.5,0.5,CRITICAL
PHC-KHO-01,DIST-OD-01,MED-004,65,6.0,1.0,4,4.4,10.8,MODERATE
PHC-KHO-01,DIST-OD-01,MED-005,12,3.0,1.2,7,4.0,3.3,CRITICAL
